         3615335 function calls (3404599 primitive calls) in 92.096 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.083    0.042    0.083    0.042 {built-in method sentencepiece._sentencepiece.SentencePieceProcessor_LoadFromFile}
 1752/643    0.081    0.000    0.083    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:178(getwidth)
     4300    0.079    0.000    0.079    0.000 {method 'to' of 'torch._C.TensorBase' objects}
       16    0.077    0.005    0.078    0.005 {built-in method _socket.getaddrinfo}
3808/1568    0.077    0.000    0.087    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\features\features.py:1242(get_nested_type)
    13888    0.077    0.000    0.085    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\pickle.py:211(commit_frame)
      112    0.076    0.001    3.467    0.031 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\bert_score\utils.py:393(collate_idf)
 2352/238    0.076    0.000    0.106    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\modules\module.py:2154(state_dict)
      893    0.073    0.000    0.335    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      419    0.071    0.000    0.096    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\descriptors\__init__.py:23(__new__)
    59997    0.071    0.000    0.102    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\sentencepiece\__init__.py:282(IdToPiece)
    59999    0.071    0.000    0.084    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\sentencepiece\__init__.py:276(GetPieceSize)
      345    0.071    0.000    0.157    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\inspect.py:2366(_signature_from_function)
      448    0.067    0.000    0.317    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\arrow_writer.py:211(__arrow_array__)
     5040    0.067    0.000    0.067    0.000 {method 'view' of 'torch._C.TensorBase' objects}
        1    0.065    0.065    0.196    0.196 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\sacrebleu\dataset\__init__.py:1(<module>)
     1008    0.065    0.000    0.065    0.000 {built-in method _collections._count_elements}
     9195    0.064    0.000    0.064    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:240(__next)
     2645    0.062    0.000    0.063    0.000 {built-in method nt.stat}
 1951/368    0.060    0.000    0.048    0.000 {method 'acquire' of '_thread.lock' objects}
      536    0.059    0.000    0.059    0.000 {built-in method marshal.loads}
      112    0.057    0.001    0.057    0.001 {built-in method torch.bmm}
     2352    0.056    0.000    0.060    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\pickle.py:403(__init__)
    39401    0.055    0.000    0.078    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\sentencepiece\__init__.py:279(PieceToId)
      100    0.055    0.001    0.055    0.001 {built-in method sentencepiece._sentencepiece.SentencePieceProcessor__EncodeAsPieces}
      537    0.054    0.000    0.284    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
      112    0.054    0.000    0.054    0.000 {built-in method torch.min}
      448    0.054    0.000    0.079    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\table.py:1954(cast_array_to_feature)
     6216    0.053    0.000    0.053    0.000 {method 'transpose' of 'torch._C.TensorBase' objects}
15015/2056    0.049    0.000    0.050    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\modules\module.py:2787(named_modules)
      113    0.049    0.000    0.049    0.000 {method 'close' of '_io.BufferedWriter' objects}
