         3615335 function calls (3404599 primitive calls) in 92.096 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\switchboard.py:38(SwitchboardCorpusReader)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\translate\ribes_score.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\drawing\picture.py:21(PictureLocking)
        6    0.000    0.000    0.090    0.015 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\utils\doc.py:25(get_docstring_indentation_level)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\chart\trendline.py:53(Trendline)
        3    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:578(parse_limited_quantifier)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\tree\parented.py:406(MultiParentedTree)
       32    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\requests\adapters.py:140(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\sem\drt.py:610(DrtProposition)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\parse\shiftreduce.py:17(ShiftReduceParser)
      155    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\worksheet\pagebreak.py:35(RowBreak)
        1    0.000    0.000    0.107    0.107 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\writer\excel.py:208(_write_worksheets)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\metrics\segmentation.py:1(<module>)
        3    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\huggingface_hub\file_download.py:175(hf_hub_url)
       13    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\flags.py:87(allows_duplicate_labels)
        1    0.000    0.000    0.018    0.018 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:1102(parse_subpattern)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\knbc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\drawing\drawing.py:9(Drawing)
       42    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\packaging\version.py:267(epoch)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\panlex_swadesh.py:1(<module>)
        4    0.000    0.000    0.076    0.019 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\matplotlib\artist.py:125(__init_subclass__)
       18    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\urllib3\util\request.py:136(set_file_position)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\parse\projectivedependencyparser.py:287(ProbabilisticProjectiveDependencyParser)
        6    0.000    0.000    0.000    0.000 <frozen _collections_abc>:104(_check_methods)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\chart\error_bar.py:23(ErrorBars)
        1    0.000    0.000    0.003    0.003 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\worksheet\_read_only.py:1(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\cell\text.py:1(<module>)
        5    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:3469(get_firstset)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\tag\perceptron.py:46(AveragedPerceptron)
        7    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:3213(__init__)
       12    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:559(parse_quantifier)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\draw\util.py:2454(MutableOptionMenu)
        1    0.000    0.000    1.046    1.046 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\__init__.py:1(<module>)
      322    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\encodings\__init__.py:43(normalize_encoding)
      296    0.000    0.000    0.000    0.000 {built-in method math.isnan}
       14    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\construction.py:758(_maybe_repeat)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\mpl_toolkits\axes_grid1\parasite_axes.py:80(HostAxesBase)
        3    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:449(_create_fn)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\inference\resolution.py:174(Clause)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\api.py:421(SyntaxCorpusReader)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\sentencepiece\__init__.py:117(ImmutableSentencePieceText)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\pivot\table.py:690(FieldItem)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\drawing\properties.py:42(GroupLocking)
        1    0.000    0.000    0.008    0.008 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\lin.py:15(LinThesaurusCorpusReader)
        1    0.000    0.000    0.005    0.005 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\compat\__init__.py:1(<module>)
       57    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\workbook\child.py:55(parent)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:195(_write_atomic)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\classify\naivebayes.py:1(<module>)
        1    0.000    0.000    0.004    0.004 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\tbl\template.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\drawing\colors.py:372(ColorMapping)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\parse\chart.py:225(TreeEdge)
        1    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:567(__exit__)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\tokenize\regexp.py:1(<module>)
       39    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\indexing.py:981(<genexpr>)
        1    0.000    0.000    0.019    0.019 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\modules\module.py:1228(to)
        1    0.000    0.000    0.014    0.014 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\stem\cistem.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\collections.py:113(AbstractLazySequence)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\nps_chat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\translate\ibm2.py:59(IBMModel2)
       18    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\urllib3\util\timeout.py:202(start_connect)
        2    0.000    0.000    0.000    0.000 {built-in method sys.settrace}
        1    0.000    0.000    0.003    0.003 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\internals\construction.py:506(nested_data_to_arrays)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\parse\viterbi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\draw\cfg.py:566(CFGDemo)
        1    0.000    0.000    1.740    1.740 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\bert_score\utils.py:324(get_tokenizer)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\absl\flags\_argument_parser.py:370(EnumClassParser)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\draw\util.py:1448(StackWidget)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\comments\comment_sheet.py:142(CommentSheet)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\metrics\association.py:164(BigramAssocMeasures)
        1    0.000    0.000    0.057    0.057 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\metrics\__init__.py:1(<module>)
        5    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\lazyimport.py:62(__init__)
       12    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:2847(optimise)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\parse\viterbi.py:19(ViterbiParser)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\chart\bubble_chart.py:25(BubbleChart)
        1    0.000    0.000    0.029    0.029 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\chart\shapes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
        4    0.000    0.000    1.941    0.485 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\evaluate\loading.py:446(__init__)
       13    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\utils\cell.py:78(get_column_letter)
       26    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\common.py:372(apply_if_callable)
       18    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py:1290(_cookies_for_request)
        3    0.000    0.000    0.049    0.016 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\configuration_utils.py:918(to_json_string)
        1    0.000    0.000    0.155    0.155 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\writer\excel.py:279(save_workbook)
       34    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\ccg\lexicon.py:57(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\absl\flags\_exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\worksheet\properties.py:44(WorksheetProperties)
        2    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:2313(_reduce_to_set)
        9    0.000    0.000    0.000    0.000 {built-in method time.localtime}
       33    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\numpy\_core\multiarray.py:1098(copyto)
        6    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\utils\extract.py:65(read_magic_number)
       19    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.006    0.006 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\tokenize\punkt.py:185(PunktLanguageVars)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\tree\transforms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\sentencepiece\__init__.py:1052(SentencePieceNormalizer)
       12    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\json\encoder.py:224(floatstr)
       12    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\evaluate\utils\file_utils.py:99(hf_hub_url)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\drawing\effect.py:317(ReflectionEffect)
        6    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\enum.py:967(_get_mixins_)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\chart\pie_chart.py:128(ProjectedPieChart)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\parse\corenlp.py:40(CoreNLPServer)
      120    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\dependency.py:1(<module>)
       18    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\feedparser.py:208(_pop_message)
        1    0.000    0.000    0.005    0.005 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\_refs\__init__.py:6212(normal_)
        1    0.000    0.000    0.000    0.000 C:\Users\User\.cache\huggingface\modules\evaluate_modules\metrics\evaluate-metric--chrf\d244bab9383988714085a8dacc4871986d9f025398581c33d6b2ee22836b4069\chrf.py:126(ChrF)
        1    0.000    0.000    0.004    0.004 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\classify\scikitlearn.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method torch.empty_permuted}
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\worksheet\filters.py:381(FilterColumn)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\absl\logging\__init__.py:889(PythonHandler)
        1    0.000    0.000    0.070    0.070 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\descriptors\__init__.py:1(<module>)
        1    0.000    0.000    0.003    0.003 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\internals\construction.py:793(to_arrays)
        1    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:4247(Spinbox)
       39    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\indexing.py:2781(<genexpr>)
        1    0.000    0.000    0.020    0.020 C:\Users\User\.cache\huggingface\modules\evaluate_modules\metrics\evaluate-metric--bleu\9e0985c1200e367cce45605ce0ecb5ede079894e0f24f54613fca08eeb8aff76\bleu.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\models\t5\configuration_t5.py:1(<module>)
       41    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\_distutils_hack\__init__.py:108(<lambda>)
       12    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\utils\py_utils.py:678(copyfunc)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\packaging\custom.py:191(CustomPropertyList)
       52    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:2551(Conditional)
        5    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\io\formats\css.py:67(_border_expander)
       33    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\indexes\base.py:909(__len__)
        6    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\huggingface_hub\utils\_headers.py:224(_deduplicate_user_agent)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:3114(LookAroundConditional)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\semcor.py:19(SemcorCorpusReader)
        1    0.000    0.000    0.059    0.059 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\stem\__init__.py:1(<module>)
        2    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\_library\custom_ops.py:612(fake_impl)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\classify\rte_classify.py:1(<module>)
       16    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\socket.py:506(detach)
       28    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\inspect.py:299(ismethod)
        9    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\_prims_common\wrappers.py:51(_maybe_convert_to_dtype)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\tokenize\stanford_segmenter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\cell\text.py:65(InlineFont)
      194    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        4    0.000    0.000    0.002    0.001 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\enum.py:1584(__invert__)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\internals\construction.py:928(_finalize_columns_and_data)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\tag\tnt.py:23(TnT)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\drawing\text.py:433(ListStyle)
        4    0.000    0.000    0.002    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\evaluate\module.py:266(_build_data_dir)
       46    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\styles\cell_style.py:29(__set__)
       36    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        4    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\evaluate\utils\file_utils.py:41(init_hf_modules)
        1    0.000    0.000    0.154    0.154 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\writer\excel.py:273(save)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\plaintext.py:20(PlaintextCorpusReader)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\portalocker\utils.py:358(RLock)
        4    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\evaluate\utils\file_utils.py:72(is_relative_path)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\worksheet\_reader.py:354(WorksheetReader)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\classify\megam.py:1(<module>)
        2    0.000    0.000    0.001    0.001 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\linecache.py:80(updatecache)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\chart\bar_chart.py:101(BarChart3D)
        6    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\gzip.py:89(read)
        6    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\requests\cookies.py:259(iteritems)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\stem\arlstem2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\cluster\kmeans.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\worksheet\dimensions.py:70(RowDimension)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\sacrebleu\dataset\base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\drawing\effect.py:241(OuterShadow)
        1    0.000    0.000    0.031    0.031 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\mpl_toolkits\axes_grid1\mpl_axes.py:1(<module>)
       26    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\common.py:152(cast_scalar_indexer)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\grammar.py:1043(DependencyGrammar)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\packaging\workbook.py:128(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\worksheet\cell_range.py:425(MultiCellRange)
        6    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\huggingface_hub\utils\_http.py:352(hf_raise_for_status)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\absl\flags\_flagvalues.py:1349(FlagHolder)
        1    0.000    0.000    0.024    0.024 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\worksheet\_write_only.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\workbook\_writer.py:49(WorkbookWriter)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\sem\evaluate.py:115(Valuation)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\drawing\effect.py:31(LuminanceEffect)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\packaging\extended.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\drawing\graphic.py:32(GraphicFrameLocking)
        3    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\uuid.py:723(uuid4)
        1    0.000    0.000    0.006    0.006 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\io\excel\_base.py:1116(__new__)
        1    0.000    0.000    0.006    0.006 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\tree\immutable.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\classify\maxent.py:476(BinaryMaxentFeatureEncoding)
        1    0.000    0.000    0.021    0.021 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\inference\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\wordlist.py:1(<module>)
